package,version,ecosystem,source_file,osv_id,aliases,summary,cvss_vector,severity_score,fixed_version,published,modified,details,references
brace-expansion,1.1.17,npm,C:/Users/santh/.vscode/Programming/Hackathons/Luma-Hydra/blastradius/corpus/drawio-desktop/package-lock.json,GHSA-rgw5-rvv9-x895,CVE-2026-69152,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,1.1.18,2026-08-03T16:35:32Z,2026-08-04T21:27:00.495135395Z,"### Summary  The `maxLength` mitigation added in `5.0.8` for GHSA-mh99-v99m-4gvg / CVE-2026-14257 is incomplete. It bounds the accumulator where results are *combined*, but not the intermediate arrays that feed it. A ~25 KB input still crashes the Node process with an **uncatchable** out-of-memory error, so `try/catch` around `expand()` does not help.  A second, related path in the same function lets a ~400 KB input block the event loop for over two minutes without ever exceeding the memory bound.  ### Details  `maxLength` was enforced in `combine()`, the single place output grows. Two arrays are built *before* `combine()` runs, and neither was bounded.  **1. Comma alternatives accumulate without a running total (memory exhaustion)**  Each alternative in `{a,b,c,...}` is expanded by its own recursive `expand_()` call, so each receives a full, independent `maxLength` allowance. The results were then concatenated into a single `values` array with no cumulative limit:  ```js values = [] for (let j = 0; j < n.length; j++) {   values.push.apply(values, expand_(n[j], max, maxLength, false)) }  acc = combine(acc, pre, values, max, maxLength, ...) ```  With `A` alternatives, `values` can reach `A * maxLength` characters before `combine()` gets a chance to truncate it. At the default `maxLength` of 4,000,000 and 400 alternatives, that is well past any default heap.  **2. Padded sequences ignore `maxLength` while generating (CPU exhaustion)**  `expandSequence()` was bounded by `max` (the result *count*) but never consulted `maxLength`. A padded sequence's element width follows the input, so `{0...01..100000}` with a wide pad generates `max` elements, each as wide as the input, only for `combine()` to discard all but a handful.  Memory stays flat here, because V8 represents the padded strings as cons-strings, which is likely why this path was not caught alongside the original issue. The cost is time: work proportional to `max * width`.  | pad width | input bytes | results kept | time (5.0.8) | time (patched) | |---|---|---|---|---| | 20,000 | 20 KB | 199 | ~7.3 s | ~20 ms | | 100,000 | 100 KB | 39 | ~32 s | ~20 ms | | 400,000 | 400 KB | 9 | ~124 s | ~18 ms |  Output is byte-identical before and after the fix; only the wasted work is removed.  ### Proof of concept  Memory exhaustion, against `5.0.8`:  ```js import { expand } from 'brace-expansion'  const part = '{' + '0'.repeat(50) + '1..100000}' const input = '{' + Array(400).fill(part).join(',') + '}'  // ~25 KB  try {   expand(input) } catch (e) {   // never reached - the process is already dead } ```  ``` FATAL ERROR: Ineffective mark-compacts near heap limit Allocation failed - JavaScript heap out of memory Aborted ```  Event-loop stall, against `5.0.8`:  ```js import { expand } from 'brace-expansion'  // ~400 KB input, returns 9 results after roughly two minutes of blocking CPU expand('{' + '0'.repeat(400_000) + '1..100000}') ```  ### Impact  Denial of service. Any application that passes attacker-controlled input to `expand()`, directly or transitively through a glob or pattern-matching library, can be remotely crashed or stalled. The out-of-memory variant terminates the process and cannot be handled with `try/catch`.  Applications already on `5.0.8` are affected: the `5.0.8` mitigation does not cover these paths.  ### Patches  Both intermediate arrays are now bounded as they are built, using the same `max` and `maxLength` limits already applied in `combine()`:  - `values` tracks a running result count and character length while alternatives are appended, and stops once either bound is reached. - `expandSequence()` accepts `maxLength` and stops generating once the sequence's own characters reach it.  As with the existing limits, output is truncated rather than allowed to grow without bound, which matches how `max` already behaves. The defaults sit well above any realistic expansion, so legitimate input is unaffected.  ### Workarounds  If upgrading is not immediately possible, avoid passing untrusted input to `expand()` or to glob brace patterns, or pass an explicitly small `max` **and** `maxLength`.  Note that a small `maxLength` alone was not sufficient on affected versions: it was applied per alternative rather than cumulatively, which is the root of the first issue above.  ### Credits  The memory-exhaustion bypass was reported by Alessio Della Libera, CEO & Co-founder at [Numyra](https://numyra.ai/).  The sequence-generation issue was found while verifying that report.",https://nvd.nist.gov/vuln/detail/CVE-2026-69152
brace-expansion,2.1.3,npm,C:/Users/santh/.vscode/Programming/Hackathons/Luma-Hydra/blastradius/corpus/drawio-desktop/package-lock.json,GHSA-rgw5-rvv9-x895,CVE-2026-69152,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,1.1.18,2026-08-03T16:35:32Z,2026-08-04T21:27:00.495135395Z,"### Summary  The `maxLength` mitigation added in `5.0.8` for GHSA-mh99-v99m-4gvg / CVE-2026-14257 is incomplete. It bounds the accumulator where results are *combined*, but not the intermediate arrays that feed it. A ~25 KB input still crashes the Node process with an **uncatchable** out-of-memory error, so `try/catch` around `expand()` does not help.  A second, related path in the same function lets a ~400 KB input block the event loop for over two minutes without ever exceeding the memory bound.  ### Details  `maxLength` was enforced in `combine()`, the single place output grows. Two arrays are built *before* `combine()` runs, and neither was bounded.  **1. Comma alternatives accumulate without a running total (memory exhaustion)**  Each alternative in `{a,b,c,...}` is expanded by its own recursive `expand_()` call, so each receives a full, independent `maxLength` allowance. The results were then concatenated into a single `values` array with no cumulative limit:  ```js values = [] for (let j = 0; j < n.length; j++) {   values.push.apply(values, expand_(n[j], max, maxLength, false)) }  acc = combine(acc, pre, values, max, maxLength, ...) ```  With `A` alternatives, `values` can reach `A * maxLength` characters before `combine()` gets a chance to truncate it. At the default `maxLength` of 4,000,000 and 400 alternatives, that is well past any default heap.  **2. Padded sequences ignore `maxLength` while generating (CPU exhaustion)**  `expandSequence()` was bounded by `max` (the result *count*) but never consulted `maxLength`. A padded sequence's element width follows the input, so `{0...01..100000}` with a wide pad generates `max` elements, each as wide as the input, only for `combine()` to discard all but a handful.  Memory stays flat here, because V8 represents the padded strings as cons-strings, which is likely why this path was not caught alongside the original issue. The cost is time: work proportional to `max * width`.  | pad width | input bytes | results kept | time (5.0.8) | time (patched) | |---|---|---|---|---| | 20,000 | 20 KB | 199 | ~7.3 s | ~20 ms | | 100,000 | 100 KB | 39 | ~32 s | ~20 ms | | 400,000 | 400 KB | 9 | ~124 s | ~18 ms |  Output is byte-identical before and after the fix; only the wasted work is removed.  ### Proof of concept  Memory exhaustion, against `5.0.8`:  ```js import { expand } from 'brace-expansion'  const part = '{' + '0'.repeat(50) + '1..100000}' const input = '{' + Array(400).fill(part).join(',') + '}'  // ~25 KB  try {   expand(input) } catch (e) {   // never reached - the process is already dead } ```  ``` FATAL ERROR: Ineffective mark-compacts near heap limit Allocation failed - JavaScript heap out of memory Aborted ```  Event-loop stall, against `5.0.8`:  ```js import { expand } from 'brace-expansion'  // ~400 KB input, returns 9 results after roughly two minutes of blocking CPU expand('{' + '0'.repeat(400_000) + '1..100000}') ```  ### Impact  Denial of service. Any application that passes attacker-controlled input to `expand()`, directly or transitively through a glob or pattern-matching library, can be remotely crashed or stalled. The out-of-memory variant terminates the process and cannot be handled with `try/catch`.  Applications already on `5.0.8` are affected: the `5.0.8` mitigation does not cover these paths.  ### Patches  Both intermediate arrays are now bounded as they are built, using the same `max` and `maxLength` limits already applied in `combine()`:  - `values` tracks a running result count and character length while alternatives are appended, and stops once either bound is reached. - `expandSequence()` accepts `maxLength` and stops generating once the sequence's own characters reach it.  As with the existing limits, output is truncated rather than allowed to grow without bound, which matches how `max` already behaves. The defaults sit well above any realistic expansion, so legitimate input is unaffected.  ### Workarounds  If upgrading is not immediately possible, avoid passing untrusted input to `expand()` or to glob brace patterns, or pass an explicitly small `max` **and** `maxLength`.  Note that a small `maxLength` alone was not sufficient on affected versions: it was applied per alternative rather than cumulatively, which is the root of the first issue above.  ### Credits  The memory-exhaustion bypass was reported by Alessio Della Libera, CEO & Co-founder at [Numyra](https://numyra.ai/).  The sequence-generation issue was found while verifying that report.",https://nvd.nist.gov/vuln/detail/CVE-2026-69152
brace-expansion,5.0.8,npm,C:/Users/santh/.vscode/Programming/Hackathons/Luma-Hydra/blastradius/corpus/drawio-desktop/package-lock.json,GHSA-rgw5-rvv9-x895,CVE-2026-69152,"brace-expansion: DoS via unbounded intermediate arrays, bypassing the CVE-2026-14257 mitigation",CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,1.1.18,2026-08-03T16:35:32Z,2026-08-04T21:27:00.495135395Z,"### Summary  The `maxLength` mitigation added in `5.0.8` for GHSA-mh99-v99m-4gvg / CVE-2026-14257 is incomplete. It bounds the accumulator where results are *combined*, but not the intermediate arrays that feed it. A ~25 KB input still crashes the Node process with an **uncatchable** out-of-memory error, so `try/catch` around `expand()` does not help.  A second, related path in the same function lets a ~400 KB input block the event loop for over two minutes without ever exceeding the memory bound.  ### Details  `maxLength` was enforced in `combine()`, the single place output grows. Two arrays are built *before* `combine()` runs, and neither was bounded.  **1. Comma alternatives accumulate without a running total (memory exhaustion)**  Each alternative in `{a,b,c,...}` is expanded by its own recursive `expand_()` call, so each receives a full, independent `maxLength` allowance. The results were then concatenated into a single `values` array with no cumulative limit:  ```js values = [] for (let j = 0; j < n.length; j++) {   values.push.apply(values, expand_(n[j], max, maxLength, false)) }  acc = combine(acc, pre, values, max, maxLength, ...) ```  With `A` alternatives, `values` can reach `A * maxLength` characters before `combine()` gets a chance to truncate it. At the default `maxLength` of 4,000,000 and 400 alternatives, that is well past any default heap.  **2. Padded sequences ignore `maxLength` while generating (CPU exhaustion)**  `expandSequence()` was bounded by `max` (the result *count*) but never consulted `maxLength`. A padded sequence's element width follows the input, so `{0...01..100000}` with a wide pad generates `max` elements, each as wide as the input, only for `combine()` to discard all but a handful.  Memory stays flat here, because V8 represents the padded strings as cons-strings, which is likely why this path was not caught alongside the original issue. The cost is time: work proportional to `max * width`.  | pad width | input bytes | results kept | time (5.0.8) | time (patched) | |---|---|---|---|---| | 20,000 | 20 KB | 199 | ~7.3 s | ~20 ms | | 100,000 | 100 KB | 39 | ~32 s | ~20 ms | | 400,000 | 400 KB | 9 | ~124 s | ~18 ms |  Output is byte-identical before and after the fix; only the wasted work is removed.  ### Proof of concept  Memory exhaustion, against `5.0.8`:  ```js import { expand } from 'brace-expansion'  const part = '{' + '0'.repeat(50) + '1..100000}' const input = '{' + Array(400).fill(part).join(',') + '}'  // ~25 KB  try {   expand(input) } catch (e) {   // never reached - the process is already dead } ```  ``` FATAL ERROR: Ineffective mark-compacts near heap limit Allocation failed - JavaScript heap out of memory Aborted ```  Event-loop stall, against `5.0.8`:  ```js import { expand } from 'brace-expansion'  // ~400 KB input, returns 9 results after roughly two minutes of blocking CPU expand('{' + '0'.repeat(400_000) + '1..100000}') ```  ### Impact  Denial of service. Any application that passes attacker-controlled input to `expand()`, directly or transitively through a glob or pattern-matching library, can be remotely crashed or stalled. The out-of-memory variant terminates the process and cannot be handled with `try/catch`.  Applications already on `5.0.8` are affected: the `5.0.8` mitigation does not cover these paths.  ### Patches  Both intermediate arrays are now bounded as they are built, using the same `max` and `maxLength` limits already applied in `combine()`:  - `values` tracks a running result count and character length while alternatives are appended, and stops once either bound is reached. - `expandSequence()` accepts `maxLength` and stops generating once the sequence's own characters reach it.  As with the existing limits, output is truncated rather than allowed to grow without bound, which matches how `max` already behaves. The defaults sit well above any realistic expansion, so legitimate input is unaffected.  ### Workarounds  If upgrading is not immediately possible, avoid passing untrusted input to `expand()` or to glob brace patterns, or pass an explicitly small `max` **and** `maxLength`.  Note that a small `maxLength` alone was not sufficient on affected versions: it was applied per alternative rather than cumulatively, which is the root of the first issue above.  ### Credits  The memory-exhaustion bypass was reported by Alessio Della Libera, CEO & Co-founder at [Numyra](https://numyra.ai/).  The sequence-generation issue was found while verifying that report.",https://nvd.nist.gov/vuln/detail/CVE-2026-69152
fast-uri,3.1.4,npm,C:/Users/santh/.vscode/Programming/Hackathons/Luma-Hydra/blastradius/corpus/drawio-desktop/package-lock.json,GHSA-7p8r-x3mc-p8w7,CVE-2026-18446,fast-uri vulnerable to host confusion via backslash authority introducer,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,HIGH,2.4.4,2026-08-03T19:16:43Z,2026-08-04T21:26:59.873637294Z,"### Impact  `fast-uri` v4.1.1 and earlier require a literal `//` to recognize a URI authority, so a reference that uses `\\`, `/\`, or `\/` as the authority introducer (in place of `//`, after an optional scheme) is parsed with no authority: the sequence and everything after it fold into the path. Node's native WHATWG `URL` (used by `fetch()`, `undici`, and Node's `http`/`https` clients) instead treats `\` as interchangeable with `/` for special schemes (`http`, `https`, `ws`, `wss`, `ftp`, `file`), so the two parsers extract different hosts from the same input.  For example, `fast-uri` resolves `\\evil.com/path` against base `https://allowed.com/` to `https://allowed.com/%5C%5Cevil.com/path` (confined to the trusted host), while Node's WHATWG URL resolves the same reference to `https://evil.com/path`.  Applications that use `fast-uri` to enforce host-based policy (allowlists, denylists, loopback/SSRF filtering, redirect validation, outbound proxy routing) before passing the same URL into Node's URL or `fetch()` consumers see a policy/use desync and can be steered to an unintended destination.  ### Patches  Upgrade to `fast-uri` v4.1.2, v3.1.5, v2.4.4.  ### Workarounds  None. Upgrade to the patched version.",https://nvd.nist.gov/vuln/detail/CVE-2026-18446
js-yaml,4.3.0,npm,C:/Users/santh/.vscode/Programming/Hackathons/Luma-Hydra/blastradius/corpus/drawio-desktop/package-lock.json,GHSA-5p4m-2wfm-xmqj,,JS-YAML: Quadratic CPU consumption in !!omap resolution (3.x and 4.x) â€” CVE-2026-59870 fix not backported,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,HIGH,4.3.1,2026-08-06T20:27:32Z,2026-08-07T21:11:58.193703070Z,"# Quadratic CPU consumption in `!!omap` resolution (js-yaml 3.x and 4.x)  ## Summary  `resolveYamlOmap()` enforces key uniqueness for `!!omap` sequences with a linear scan (`objectKeys.indexOf(...)`) inside the per-element loop, making resolution **O(nÂ²)** in the number of entries. A modestly sized YAML document therefore consumes disproportionate CPU inside `yaml.load()`, giving a denial of service against any consumer that parses untrusted YAML.  `!!omap` is registered in the **default schema** (`lib/schema/default.js` â†’ `require('../type/omap')`), so a plain `yaml.load(untrustedInput)` with no options is affected â€” no custom schema or non-default configuration is required.  **This is the same weakness as CVE-2026-59870 / GHSA-724g-mxrg-4qvm**, which was fixed in the 5.x line in 5.2.1. That fix was never backported: both currently maintained legacy lines still carry the original implementation.  ## Affected versions  | Line | Latest tested | Status | |---|---|---| | 3.x | **3.15.0** | Affected â€” `objectKeys.indexOf(pairKey)` at `lib/type/omap.js:29` | | 4.x | **4.3.0** | Affected â€” `objectKeys.indexOf(pairKey)` at `lib/type/omap.js:30` | | 5.x | 5.2.2 | **Not affected** â€” fixed in 5.2.1 (uses a `Set`) |  Both figures are the newest release of each line at the time of writing, so this is not a ""you are on an old version"" issue.  ## Details  `lib/type/omap.js` (js-yaml 4.3.0):  ```js if (objectKeys.indexOf(pairKey) === -1) objectKeys.push(pairKey) else return false ```  `objectKeys` grows by one element per entry, and `Array.prototype.indexOf` is a linear scan, so resolving an `n`-entry `!!omap` performs roughly `1 + 2 + â€¦ + n` comparisons â€” quadratic in `n`. The work happens synchronously inside `yaml.load()`, blocking the event loop for its whole duration.  The 5.x line already solves exactly this by tracking seen keys in a `Set` (`src/tag/sequence/omap.ts`):  ```ts if (carrier.seen.has(key)) return 'duplicate key in ordered map' carrier.seen.add(key) ```  ## Proof of concept  ```js // poc.js  â€”  node poc.js const yaml = require('js-yaml'); const doc = n => '!!omap\n' + Array.from({length: n}, (_, i) => `- k${i}: ${i}`).join('\n') + '\n';  for (const n of [10000, 20000, 40000, 80000]) {   const d = doc(n), t = Date.now();   yaml.load(d);                      // default schema, no options   console.log(`n=${n} bytes=${d.length} load=${Date.now() - t}ms`); } ```  ### Measured (node v20.20.2, default heap, no flags)  **js-yaml 4.3.0**  ``` n=10000  bytes=137787   load=54ms n=20000  bytes=297787   load=169ms n=40000  bytes=617787   load=646ms n=80000  bytes=1257787  load=2607ms ```  **js-yaml 3.15.0**  ``` n=10000  bytes=137787   load=53ms n=20000  bytes=297787   load=166ms n=40000  bytes=617787   load=641ms n=80000  bytes=1257787  load=2567ms ```  Runtime grows by a factor of ~4 for each doubling of `n`, which is the signature of O(nÂ²) (linear growth would be ~2Ã—).  Scaling further: a **2.48 MB** document with 150,000 entries blocked `yaml.load()` for **10.8 seconds**.  ## Impact  Any service that parses attacker-influenced YAML with js-yaml 3.x or 4.x can be stalled with a small input. Because the loop is synchronous, a single request blocks the Node.js event loop and stalls every other request in the process â€” so the amplification is per-process, not just per-request.  Suggested severity: consistent with **CVE-2026-59870** (the same weakness in 5.x), i.e. Availability-only impact, network attack vector, no privileges or user interaction required.  ## Suggested fix  Mirror the 5.x fix â€” replace the linear scan with a `Set`:  ```js // lib/type/omap.js const seen = new Set() // ... if (seen.has(pairKey)) return false seen.add(pairKey) ```  This preserves the existing duplicate-key rejection semantics exactly while making resolution O(n). A `maxOmapLength`-style cap would also work, but the `Set` matches what 5.x already ships and requires no new option.  ## References  - CVE-2026-59870 / GHSA-724g-mxrg-4qvm â€” same weakness in 5.0.0â€“5.2.0, fixed in 5.2.1 - `lib/type/omap.js` (3.x, 4.x) â€” the affected resolver - `lib/schema/default.js` â€” registers `!!omap` in the default schema  ## Discovery  Found by an automated static-analysis and executed-proof-of-concept scanner run against js-yaml 4.2.0, then manually verified against 3.15.0 and 4.3.0 by executing the proof of concept above. All timings in this report were measured on the **current** releases of each line, not on the version originally scanned.",https://github.com/nodeca/js-yaml/security/advisories/GHSA-5p4m-2wfm-xmqj
